Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	D'Arrigo	Melanie		C	NY03	2020	5/14/2020	10035895
	Davidson	Allen Ray		C	IN05	2020	3/25/2020	10034770
	Davis	Chance		D	TX18	2020	8/17/2020	8217591
	Davis	Morris D.		C	NC11	2020	6/26/2020	10036587
	Davis	Paul E.		C	WV03	2020	4/6/2020	10034806
Hon.	Davis	Susan A.		P	CA53	2020	3/13/2020	20016106
Hon.	Davis	Susan A.		P	CA53	2020	4/16/2020	20016363
Hon.	Davis	Susan A.		P	CA53	2020	5/14/2020	20016579
	Davis	Wendy		C	TX21	2020	8/12/2020	10035888
	Davis	Wendy		X	TX21	2020	5/20/2020	30011521
	De La Cruz Hernandez	Monica		C	TX15	2020	5/19/2020	10035228
	De La Fuente	Ricardo		C	FL24	2020	5/13/2020	10035842
	De La Fuente	Ricardo		C	TX27	2020	5/10/2020	10035713
	De La Isla	Michelle		C	KS02	2020	5/11/2020	10034799
	Debello	James		C	CA52	2020	5/15/2020	10035763
	Deegan	Donna		C	FL04	2020	4/30/2020	10035326
	Degrammont	Vic		C	FL20	2020	7/17/2020	10036405
Hon.	DelBene	Suzan K.		P	WA01	2020	1/15/2020	20013841
Hon.	DelBene	Suzan K.		P	WA01	2020	2/14/2020	20014990
Hon.	DelBene	Suzan K.		P	WA01	2020	3/15/2020	20016165
Hon.	DelBene	Suzan K.		P	WA01	2020	4/14/2020	20016353
Hon.	DelBene	Suzan K.		P	WA01	2020	5/16/2020	20016546
Hon.	DelBene	Suzan K.		P	WA01	2020	6/14/2020	20016710
Hon.	DelBene	Suzan K.		P	WA01	2020	7/15/2020	20016890
Hon.	DelBene	Suzan K.		P	WA01	2020	8/10/2020	20017080
	Delgado	Jorge		C	MD01	2020	5/5/2020	10035570
	Dennehy	Edward Leo	III	W	NY04	2020	8/5/2020	7794
	Dennehy	Edward Leo	III	X	NY04	2020	7/27/2020	30011580
	Denney	Audrey L.		C	CA01	2020	4/27/2020	10035333
	Depasquale	Eugene		C	PA10	2020	5/14/2020	10035879
	Derks	Ryan		C	MO05	2020	2/20/2020	10034662
	Desira	James		D	NY22	2020	7/16/2020	8217392
	Detemple	Clifford James		C	WI05	2020	7/15/2020	10036916
	Deutsch	Chaim		C	NY09	2020	5/29/2020	8217282
	Devolder-Santos	George Anthony		A	NY03	2020	5/11/2020	10035761
	Devolder-Santos	George Anthony		C	NY03	2020	5/11/2020	10035760
	Diangelus	Jean Rochelle Chelle		W		2020		8217222
	Dickinson	Gerald		C	PA18	2020	5/11/2020	10035722
Dr.	Dietzen	Chuck		C	IN05	2020	5/13/2020	10035654
Hon.	Dingell	Debbie		P	MI12	2020	1/13/2020	20013817
Hon.	Dingell	Debbie		P	MI12	2020	4/16/2020	20016401
	Disanto	Delina		C	AZ04	2020	4/17/2020	10035078
	Dodds	Philip Benjamin		C	FL03	2020	6/6/2020	10036343
Hon.	Doggett	Lloyd		P	TX35	2020	1/10/2020	20013886
Hon.	Doggett	Lloyd		P	TX35	2020	3/4/2020	20016163
Hon.	Doggett	Lloyd		P	TX35	2020	4/9/2020	20016383
Hon.	Doggett	Lloyd		P	TX35	2020	6/3/2020	20016706
Hon.	Doggett	Lloyd		P	TX35	2020	7/6/2020	20016889
Hon.	Doggett	Lloyd		P	TX35	2020	8/5/2020	20017091
	Doglio	Beth		C	WA10	2020	5/15/2020	10035702
	Donalds	Byron		C	FL19	2020	7/13/2020	10033537
	Donalds	Byron		X	FL19	2020	2/6/2020	30008328
	Doyle	Matthew		W		2020		8217193
	Driscoll	Dan		C	NC11	2020	2/17/2020	10034653
	Driskell	Gretchen		C	MI07	2020	5/15/2020	10036019
	Dudenhoefer	David Anthony		C	MI13	2020	5/13/2020	10035706
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2020	1/20/2020	20014934
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2020	1/30/2020	20014974
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2020	3/19/2020	20016121
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2020	5/1/2020	20016504
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2020	6/23/2020	20016690
Hon.	Dunn	Neal Patrick MD, FACS		P	FL02	2020	7/18/2020	20016943
	Dunson	Leo		W	NV04	2020	4/23/2020	7740
	Durrance	Neil L.		D	TX26	2020	6/9/2020	8217292
	Eagle	Dane		C	FL19	2020	5/28/2020	10036146
	Eason	Donald		C	MI13	2020	8/19/2020	10038762
	Eastman	Kara		C	NE02	2020	5/14/2020	10035893
	Ebben	Jessi		C	WI03	2020	7/12/2020	10035661
	Ebben	Jessi		X	WI03	2020	5/11/2020	30011488
	Edick	David Daniel		W	CA50	2020	4/30/2020	7747
	Ehr	Phillip Charles		A	FL01	2020	6/15/2020	10036458
	Ehr	Phillip Charles		C	FL01	2020	6/15/2020	10036026
	Ehr	Phillip Charles		X	FL01	2020	5/27/2020	30011553
	Ekbom	Travis James		W	MN04	2020	5/27/2020	7774
	Eliason	Antonia		C	MS01	2020	3/9/2020	8217067
	Eliason	Antonia		D	MS01	2020	2/24/2020	9115537
	Ellars	James Robert		D	CA08	2020	6/11/2020	8217333
Dr.	Ellington	Charles Richard	Jr.	C	IL15	2020	1/27/2020	10033521
Mr.	Elliott	Josh Dennis	Jr.	C	NV01	2020	6/22/2020	10036527
Mr.	Elliott	Josh Dennis	Jr.	D	NV01	2020	6/2/2020	40003028
Mr.	Elliott	Josh Dennis	Jr.	D	NV01	2020	6/9/2020	8217293
	Elliott	Joyce Ann		C	AR02	2020	6/9/2020	10035830
	Elliott	Paul Sidney		C	FL14	2020	8/5/2020	8217442
	Ellis	Kathryn Gail		C	MO08	2020	5/12/2020	8217223
	Ellyson	Daniel Evan		C	GA08	2020	4/17/2020	10035101
Mr.	Ellyson	Danny Evan		A	GA08	2020	4/17/2020	10035105
Mr.	Emmons	John		C	PA06	2020	5/15/2020	10035978
Dr.	Enoch	Vanessa L.		C	OH08	2020	4/17/2020	10035075
	Espinoza	Maria		W	TX07	2020	6/22/2020	7785
	Esshaki	Eric		C	MI11	2020	5/15/2020	10035906
Hon.	Evans	Dwight		P	PA03	2020	4/23/2020	20016466
Hon.	Evans	Dwight		P	PA03	2020	7/20/2020	20016992
	Fallon	Patrick		X	TX04	2020	7/21/2020	30011578
	Farley	Chele Chiavacci		C	NY18	2020	5/15/2020	10035986
	Farris	Ramona		C	MO06	2020	5/14/2020	10035517
Mr.	Farrow	Daryl		C	NC03	2020	5/12/2020	10035792
	Fawell	William W.		D	IL17	2020	2/26/2020	8217019
	Feehan	Daniel		C	MN01	2020	4/30/2020	10035419
Dr.	Feig	Anthony Dean		C	MI04	2020	5/12/2020	10035735
Mr.	Felipe	Jerome Zabal		C	NY13	2020	2/5/2020	10033600
	Ferguson	Dana 9062045900		C	MI01	2020	5/11/2020	10035728
	Ferrer	Gabriel A.		C	FL27	2020	5/26/2020	10036187
	Feucht	J.C. Sean		W	CA03	2020	5/12/2020	7764
Ms.	Fine	Allison Harris		C	NY17	2020	5/21/2020	10035926
Ms.	Fine	Allison Harris		X	NY17	2020	5/20/2020	30011536
	Finello	Christina		C	PA01	2020	7/1/2020	10036663
	Fink	Chris		C	NY16	2020	5/14/2020	10035882
Mr.	Fiol	Juan E.		C	FL27	2020	4/20/2020	8217155
	Fischbach	Michelle		C	MN07	2020	5/15/2020	10035973
	Fitzgerald	Scott L.		C	WI05	2020	5/11/2020	10035745
	Fitzherbert	Brian		W	NJ02	2020	4/23/2020	7737
	Flanders	Kathi		C	OH10	2020	4/27/2020	10035342
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2020	2/12/2020	8216969
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2020	5/28/2020	8217280
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2020	8/18/2020	8217559
	Fleming	Bridget		C	NY01	2020	5/12/2020	10035659
	Flora	John J.		C	NJ10	2020	5/6/2020	10035603
Hon.	Flores	Bill		P	TX17	2020	1/9/2020	20013885
	Flynn	Frances		C	FL22	2020	7/21/2020	8217399
	Forbes	Wesley		D	OK04	2020	4/23/2020	40002979
	Forbes	Wesley		W	OK04	2020	4/23/2020	7730
	Foster	Adrienne		C	KS03	2020	5/14/2020	10035862
Hon.	Fowler	William		D	NH01	2020	2/26/2020	8217020
Hon.	Foxx	Virginia		P	NC05	2020	1/6/2020	20013849
Hon.	Foxx	Virginia		P	NC05	2020	2/3/2020	20014989
Hon.	Foxx	Virginia		P	NC05	2020	3/3/2020	20016147
Hon.	Foxx	Virginia		P	NC05	2020	4/1/2020	20016334
Hon.	Foxx	Virginia		P	NC05	2020	5/4/2020	20016533
Hon.	Foxx	Virginia		P	NC05	2020	6/6/2020	20016695
