rtsid key "rtsid" path "/" domain ".apple.com", store string
BoylstonStreet, %7BUS%3D%7Bt%3Da%3Bi%3DR149%3B%7D%3B%7D
SouthShore, %7BUS%3D%7Bt%3Da%3Bi%3DR110%3B%7D%3B%7D
Burlington, %7BUS%3D%7Bt%3Da%3Bi%3DR155%3B%7D%3B%7D
CambridgeSide, %7BUS%3D%7Bt%3Da%3Bi%3DR021%3B%7D%3B%7D
ChestnutHill, %7BUS%3D%7Bt%3Da%3Bi%3DR076%3B%7D%3B%7D
LegacyPlace, %7BUS%3D%7Bt%3Da%3Bi%3DR346%3B%7D%3B%7D
DerbyStreet, %7BUS%3D%7Bt%3Da%3Bi%3DR137%3B%7D%3B%7D
Holyoke, %7BUS%3D%7Bt%3Da%3Bi%3DR191%3B%7D%3B%7D
MarketStreet, %7BUS%3D%7Bt%3Da%3Bi%3DR011%3B%7D%3B%7D
SolomonPondMall, %7BUS%3D%7Bt%3Da%3Bi%3DR622%3B%7D%3B%7D
Natick, %7BUS%3D%7Bt%3Da%3Bi%3DR232%3B%7D%3B%7D
Briarwood, %7BUS%3D%7Bt%3Da%3Bi%3DR230%3B%7D%3B%7D
PartridgeCreek, %7BUS%3D%7Bt%3Da%3Bi%3DR218%3B%7D%3B%7D
Woodland, %7BUS%3D%7Bt%3Da%3Bi%3DR132%3B%7D%3B%7D
EastwoodTowneCenter, %7BUS%3D%7Bt%3Da%3Bi%3DR616%3B%7D%3B%7D
TwelveOaks, %7BUS%3D%7Bt%3Da%3Bi%3DR041%3B%7D%3B%7D
Somerset, %7BUS%3D%7Bt%3Da%3Bi%3DR055%3B%7D%3B%7D
MallofAmerica, %7BUS%3D%7Bt%3Da%3Bi%3DR007%3B%7D%3B%7D
Southdale, %7BUS%3D%7Bt%3Da%3Bi%3DR054%3B%7D%3B%7D
Uptown, %7BUS%3D%7Bt%3Da%3Bi%3DR272%3B%7D%3B%7D
Ridgedale, %7BUS%3D%7Bt%3Da%3Bi%3DR183%3B%7D%3B%7D
RosedaleCenter, %7BUS%3D%7Bt%3Da%3Bi%3DR022%3B%7D%3B%7D
RenaissanceatColonyPark, %7BUS%3D%7Bt%3Da%3Bi%3DR324%3B%7D%3B%7D
